country,x,y
Albania,94.6,-260.8
Austria,16.9,-143
Belarus,145.4,-13.0
Belgium,-110.8,-85.6
Bosnia and Herzegovina,59.7,-205.3
Bulgaria,166.1,-214.1
Croatia,34.1,-178.1
Cyprus,311.1,-332.9
Czech Republic,14.6,-99.8
Denmark,-28.4,5.2
Estonia,109.3,83.1
Finland,73.7,146.7
France,-122.6,-130.1
Germany,-27.3,-56.9
Greece,146.3,-319.1
Hungary,63.1,-146.6
Iceland,-257.9,226.9
Ireland,-245.4,-16.4
Italy,-20.1,-232.3
Kosovo,106.3,-225.0
Latvia,109.5,51.4
Lithuania,101.9,13.8
Luxembourg,-92.3,-100.8
Malta,23.8,-358.5
Moldova,193.9,-121.5
Montenegro,78.0,-229.1
Netherlands,-104.9,-55.8
North Macedonia,124.0,-241.2
Norway,-56.3,106.5
Poland,77.1,-46.6
Portugal,-317.6,-265.5
Romania,157.9,-153.6
Serbia,102.4,-205.1
Slovakia,67.1,-115.9
Slovenia,13.1,-170.8
Spain,-249.7,-258.0
Sweden,15.3,91.3
Switzerland,-73.5,-158.4
Ukraine,239.4,-79.2
United Kingdom,-173,-54
